File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lv_font_alatsi_regular_29.o,16.181934%,36243,8,0,36243,0,8
lv_font_montserrat_14.o,6.086922%,13633,8,0,13633,0,8
lv_font_alatsi_regular_13.o,4.832747%,10824,8,0,10824,0,8
lv_theme_default.o,3.738860%,8374,108,8352,22,0,108
lv_chart.o,3.170039%,7100,0,7072,28,0,0
lv_draw_sw_rect.o,2.959298%,6628,0,6628,0,0,0
lv_obj_pos.o,2.385120%,5342,5,5342,0,0,5
lv_refr.o,2.002036%,4484,32,4484,0,0,32
lv_label.o,1.884164%,4220,0,4192,28,0,0
lv_obj_scroll.o,1.876127%,4202,0,4202,0,0,0
lv_draw_mask.o,1.850231%,4144,0,4144,0,0,0
lv_btnmatrix.o,1.796207%,4023,28,3942,53,28,0
lv_textarea.o,1.760934%,3944,4,3916,28,0,4
lv_draw_sw_blend.o,1.656457%,3710,0,3698,12,0,0
lv_obj_style.o,1.602432%,3589,1,3588,0,1,0
lv_obj.o,1.494830%,3348,5,3320,28,0,5
lv_dropdown.o,1.467148%,3286,0,3230,56,0,0
stm32f4xx_hal_i2c.o,1.440359%,3226,0,3226,0,0,0
lv_arc.o,1.401068%,3138,0,3110,28,0,0
lv_draw_sw_arc.o,1.299270%,2910,0,2910,0,0,0
lv_table.o,1.268909%,2842,0,2814,28,0,0
lv_flex.o,1.226939%,2748,12,2748,0,0,12
lv_roller.o,1.184077%,2652,0,2596,56,0,0
lv_colorwheel.o,1.141214%,2556,9,2524,28,4,5
lv_grid.o,1.088529%,2438,22,2438,0,0,22
stm32f4xx_hal_spi.o,1.059061%,2372,0,2372,0,0,0
lv_img.o,0.953691%,2136,0,2108,28,0,0
lv_meter.o,0.951905%,2132,0,2104,28,0,0
stm32f4xx_hal_uart.o,0.915293%,2050,0,2050,0,0,0
lv_slider.o,0.912614%,2044,0,2016,28,0,0
lv_printf.o,0.902791%,2022,0,2022,0,0,0
lv_bar.o,0.892969%,2000,0,1972,28,0,0
c_w.l,0.884932%,1982,100,1706,272,4,96
lv_img_decoder.o,0.879574%,1970,0,1966,4,0,0
lv_draw_sw_line.o,0.853678%,1912,0,1912,0,0,0
lv_keyboard.o,0.837158%,1875,72,714,1089,72,0
lv_txt.o,0.819745%,1836,28,1808,0,28,0
lv_obj_draw.o,0.765274%,1714,0,1714,0,0,0
lv_draw_sw_transform.o,0.745629%,1670,0,1670,0,0,0
lv_area.o,0.671512%,1504,12,1500,0,4,8
lv_draw_label.o,0.642045%,1438,0,1438,0,0,0
lv_draw_sw_letter.o,0.590252%,1322,264,1044,278,0,264
lv_menu.o,0.586680%,1314,0,1050,264,0,0
stm32f4xx_hal_rcc.o,0.563463%,1262,0,1262,0,0,0
lv_tlsf.o,0.556320%,1246,0,1246,0,0,0
lv_calendar.o,0.542925%,1216,0,1164,52,0,0
lv_style.o,0.528191%,1183,6,1068,113,2,4
lv_draw_sw_img.o,0.522387%,1170,0,1170,0,0,0
