File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_stm32f401xc.o,54.898808%,24576,468,64,404,0,24576
lv_mem.o,22.910244%,10256,954,950,0,4,10252
lv_port_disp.o,7.391770%,3309,177,176,0,1,3308
st7789.o,7.152750%,3202,614,614,0,0,3202
spi.o,1.233079%,552,654,654,0,0,552
lv_gc.o,1.188402%,532,0,0,0,0,532
main.o,1.179467%,528,552,552,0,0,528
usart.o,0.750570%,336,398,398,0,0,336
lv_draw_sw_letter.o,0.589733%,264,1322,1044,278,0,264
usart_idel_config.o,0.571863%,256,164,164,0,0,256
i2c.o,0.402091%,180,232,232,0,0,180
lv_theme_default.o,0.241255%,108,8374,8352,22,0,108
c_w.l,0.223384%,100,1982,1706,272,4,96
libspace.o,0.214448%,96,8,8,0,0,96
tim.o,0.160836%,72,116,116,0,0,72
lv_keyboard.o,0.160836%,72,1875,714,1089,72,0
lv_refr.o,0.071483%,32,4484,4484,0,0,32
lv_txt.o,0.062547%,28,1836,1808,0,28,0
lv_btnmatrix.o,0.062547%,28,4023,3942,53,28,0
lv_grid.o,0.049144%,22,2438,2438,0,0,22
lv_timer.o,0.044677%,20,506,506,0,0,20
setup_scr_screen.o,0.035741%,16,459,444,0,15,1
stm32f4xx_hal.o,0.026806%,12,188,180,0,8,4
lv_tileview.o,0.026806%,12,406,350,56,0,12
lv_flex.o,0.026806%,12,2748,2748,0,0,12
lv_draw_sw_gradient.o,0.026806%,12,938,938,0,0,12
lv_area.o,0.026806%,12,1504,1500,0,4,8
lv_anim.o,0.026806%,12,940,940,0,0,12
lv_colorwheel.o,0.020105%,9,2556,2524,28,4,5
lv_spinner.o,0.017871%,8,168,140,28,0,8
lv_indev.o,0.017871%,8,342,342,0,0,8
lv_hal_tick.o,0.017871%,8,48,48,0,0,8
lv_font_montserrat_14.o,0.017871%,8,13633,0,13633,0,8
lv_font_alatsi_regular_29.o,0.017871%,8,36243,0,36243,0,8
lv_font_alatsi_regular_13.o,0.017871%,8,10824,0,10824,0,8
lv_style.o,0.013403%,6,1183,1068,113,2,4
lv_obj_pos.o,0.011169%,5,5342,5342,0,0,5
lv_obj.o,0.011169%,5,3348,3320,28,0,5
strtok.o,0.008935%,4,16,12,0,4,0
widgets_init.o,0.008935%,4,582,580,2,0,4
system_stm32f4xx.o,0.008935%,4,44,16,24,4,0
lv_textarea.o,0.008935%,4,3944,3916,28,0,4
lv_tabview.o,0.008935%,4,896,868,28,0,4
lv_hal_disp.o,0.008935%,4,542,542,0,0,4
lv_group.o,0.008935%,4,828,828,0,0,4
lv_event.o,0.008935%,4,642,642,0,0,4
lv_win.o,0.004468%,2,148,120,28,0,2
w25qxx.o,0.002234%,1,69,68,0,1,0
lv_obj_style.o,0.002234%,1,3589,3588,0,1,0
